audio_id|audio_path|text
marathi_001|marathi_001.wav|आज नीतू खूपच आनंदात होती कारण तिच्या शहाण्यासारख्या वागण्यामुळे तिला तिच्या आवडीचे गिफ्ट मिळाले होते
marathi_002|marathi_002.wav|फार फार वर्षांपूर्वी पृथ्वीची उत्पत्ती झाली तेंव्हा फक्त सूर्यच आकाशात होता, चंद्र अजिबातच नव्हता
marathi_003|marathi_003.wav|फक्त सूर्यच असल्यामुळे पृथ्वीवर कधी अंधारच होत नसे नेहमीच उजेड रहात असे
marathi_004|marathi_004.wav|त्यामुळे पृथ्वीवर राहणारी माणसे सतत कामात असत
marathi_005|marathi_005.wav|त्यांना विश्रांती कधी घ्यावी हे समजत नसे
marathi_006|marathi_006.wav|सतत काम करत रहायल्यामुळे त्यांना थकवा येत असे, चिडचिड होत असे
marathi_007|marathi_007.wav|एकदा देवबाप्पाने पृथ्वीवरच्या माणसांची भेट घ्यायचे ठरवले
marathi_008|marathi_008.wav|तो पृथ्वीवर आला तेंव्हा माणसे काम करत होती
marathi_009|marathi_009.wav|देवाने माणसाला विचारले, तू तुझे हे शेत कधी नांगरले
marathi_010|marathi_010.wav|माणूस उत्तरला, आज
marathi_011|marathi_011.wav|देवाने दुसर्या माणसाला विचारले, झाड लावण्यासाठी तू हा खड्डा कधी खणलास
marathi_012|marathi_012.wav|देवाने परत तिसर्या माणसाला विचारले, झाडावरची ही फळ कधी पिकली
marathi_013|marathi_013.wav|तिसरा माणूस हसून म्हणाला, आजच
marathi_014|marathi_014.wav|देवाला आश्चर्य वाटले
marathi_015|marathi_015.wav|आणखीन खात्री करुन घेण्यासाठी त्याने आपल्या मुलाला घेऊन जाणा-या बाईला विचारले, ह्याचा जन्म कधी झाला
marathi_016|marathi_016.wav|बाई कौतूकाने म्हणाली, आजच झाला
marathi_017|marathi_017.wav|हे ऐकल्यावर देवाला समजून चुकले की पृथ्वीवरच्या माणसांना वेळेचे अजिबातच भान नाहीये
marathi_018|marathi_018.wav|त्यांना कधी कुठले काम करावे, किती वेळ करावे हे समजत नाही
marathi_019|marathi_019.wav|त्यावर उपाय म्हणून देवाने सूर्याला बारा तासांनंतर अस्त व्हायला सांगितले आणि बरोबर बारा तासांनी परत उदय व्हायला सांगितले
marathi_020|marathi_020.wav|आता पृथ्वीवर बारा तासांनी अंधार व्हायला लागला
marathi_021|marathi_021.wav|अंधारात लोकांना काही दिसेनासे झाले, धडपडू लागले
marathi_022|marathi_022.wav|काहीच काम होईना म्हणून नाईलाजाने झोपू लागले
marathi_023|marathi_023.wav|काही दिवसांनी चौकशी केल्यावर देवाच्या लक्षात आले की माणसांना संपूर्ण अंधाराची खूपच गैरसोय होते आहे
